event_id,type,unity_time,system_timestamp,receive_timestamp,distance_m,gradient_pct,data
2,SESSION_END,0.0,2026-04-15 12:21:26.276,2026-04-15 12:21:26.284,0.0,0.0,total_events=1
1,SESSION_START,0.0,2026-04-15 12:21:33.660,2026-04-15 12:21:33.677,0.0,0.0,unity_version=2022.3.11f1
2,CLIMB_START,0.031,2026-04-15 12:22:00.383,2026-04-15 12:22:00.391,0.0,4.8,gradient=4.8
3,GRADIENT_CHANGE,0.031,2026-04-15 12:22:00.385,2026-04-15 12:22:00.399,0.0,4.8,"from=0.0,to=4.8"
4,GRADIENT_CHANGE,6.269,2026-04-15 12:22:08.150,2026-04-15 12:22:08.159,24.5,6.9,"from=4.8,to=6.9"
5,GRADIENT_CHANGE,7.275,2026-04-15 12:22:09.156,2026-04-15 12:22:09.157,29.5,8.9,"from=6.9,to=8.9"
6,GRADIENT_CHANGE,8.741,2026-04-15 12:22:10.623,2026-04-15 12:22:10.624,36.5,10.9,"from=8.9,to=10.9"
7,GRADIENT_CHANGE,12.099,2026-04-15 12:22:13.981,2026-04-15 12:22:13.987,50.6,8.7,"from=10.9,to=8.7"
8,GRADIENT_CHANGE,13.073,2026-04-15 12:22:14.954,2026-04-15 12:22:14.955,54.5,6.4,"from=8.7,to=6.4"
9,GRADIENT_CHANGE,14.016,2026-04-15 12:22:15.898,2026-04-15 12:22:15.898,58.5,3.8,"from=6.4,to=3.8"
10,CLIMB_END,14.875,2026-04-15 12:22:16.757,2026-04-15 12:22:16.757,62.6,1.9,gradient=1.9
11,GRADIENT_CHANGE,15.079,2026-04-15 12:22:16.960,2026-04-15 12:22:16.962,63.5,1.5,"from=3.8,to=1.5"
12,GRADIENT_CHANGE,16.739,2026-04-15 12:22:18.620,2026-04-15 12:22:18.621,72.5,-0.6,"from=1.5,to=-0.6"
13,GRADIENT_CHANGE,18.172,2026-04-15 12:22:20.054,2026-04-15 12:22:20.054,81.6,-2.7,"from=-0.6,to=-2.7"
14,GRADIENT_CHANGE,19.276,2026-04-15 12:22:21.157,2026-04-15 12:22:21.158,89.6,-4.8,"from=-2.7,to=-4.8"
15,GRADIENT_CHANGE,21.841,2026-04-15 12:22:23.723,2026-04-15 12:22:23.723,111.6,-2.7,"from=-4.8,to=-2.7"
16,GRADIENT_CHANGE,22.783,2026-04-15 12:22:24.665,2026-04-15 12:22:24.665,120.6,-0.7,"from=-2.7,to=-0.7"
17,GRADIENT_CHANGE,24.117,2026-04-15 12:22:25.998,2026-04-15 12:22:25.999,133.6,1.5,"from=-0.7,to=1.5"
18,CLIMB_START,24.628,2026-04-15 12:22:26.510,2026-04-15 12:22:26.510,138.6,3.2,gradient=3.2
19,GRADIENT_CHANGE,24.729,2026-04-15 12:22:26.610,2026-04-15 12:22:26.611,139.5,3.6,"from=1.5,to=3.6"
20,GRADIENT_CHANGE,25.352,2026-04-15 12:22:27.233,2026-04-15 12:22:27.233,145.5,5.6,"from=3.6,to=5.6"
21,GRADIENT_CHANGE,26.773,2026-04-15 12:22:28.654,2026-04-15 12:22:28.655,158.6,7.6,"from=5.6,to=7.6"
22,GRADIENT_CHANGE,27.951,2026-04-15 12:22:29.832,2026-04-15 12:22:29.833,168.5,9.7,"from=7.6,to=9.7"
